Table with column headers in row 3,,,,
State Postal Code,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
MT,Cardwell Elementary School District,537,51,7
MT,Carter County High School District,"1,349",80,10
MT,Carter Elementary School District,173,15,2
MT,Cascade Elementary School District,"2,069",207,26
MT,Cascade High School District,"2,909",198,16
MT,Cayuse Prairie Elementary School District,"2,811",342,41
MT,Centerville Elementary School District,"1,505",188,18
MT,Centerville High School District,"1,518",103,7
MT,Charlo Elementary School District,"1,481",176,24
MT,Charlo High School District,"2,003",118,15
MT,Chester-Joplin-Inverness Elementary School District,"1,982",202,40
MT,Chester-Joplin-Inverness High School District,"2,148",125,26
MT,Chinook Elementary School District,"1,818",240,27
MT,Chinook High School District,"2,200",114,11
MT,Choteau Elementary School District,"2,762",311,41
MT,Choteau High School District,"3,131",189,19
MT,Circle Elementary School District,"1,257",115,20
MT,Circle High School District,"1,709",98,11
MT,Clancy Elementary School District,"3,249",353,15
MT,Cleveland Elementary School District,76,6,1
MT,Clinton Elementary School District,"2,327",285,25
MT,Cohagen Elementary School District,212,28,7
MT,Colstrip Elementary School District,"2,279",352,43
MT,Colstrip High School District,"2,279",176,29
MT,Columbia Falls Elementary School District,"16,993","1,832",271
MT,Columbia Falls High School District,"17,601",959,97
MT,Columbus Elementary School District,"4,190",492,42
MT,Columbus High School District,"4,210",239,16
MT,Conrad Elementary School District,"3,141",342,71
MT,Conrad High School District,"3,485",215,34
MT,Cooke City Elementary School District,108,6,2
MT,Corvallis K-12 Schools,"9,157","1,613",193
MT,Cottonwood Elementary School District,300,25,2
MT,Cottonwood Elementary School District,344,31,2
MT,Creston Elementary School District,"1,520",153,7
MT,Culbertson Elementary School District,"1,123",128,24
MT,Culbertson High School District,"1,064",102,11
MT,Custer County High School District,"12,032",611,68
MT,Custer K-12 Schools,311,46,10
MT,Cut Bank Elementary School District,"4,583",633,122
MT,Cut Bank High School District,"4,584",297,51
MT,Darby K-12 Schools,"4,282",428,80
MT,Davey Elementary School District,88,13,4
MT,Dawson High School District,"8,346",431,46
MT,DeSmet Elementary School District,"1,667",178,22
MT,Deer Creek Elementary School District,382,45,8
MT,Deer Lodge Elementary School District,"5,984",390,72
MT,Deer Park Elementary School District,"1,376",178,13
MT,Deerfield Elementary School District,73,15,2
MT,Denton Elementary School District,482,45,13
MT,Denton High School District,555,28,5
MT,Dillon Elementary School District,"8,166",677,94
MT,Divide Elementary School District,217,21,8
MT,Dixon Elementary School District,522,58,22
MT,Dodson K-12,375,83,14
MT,Drummond Elementary School District,"1,094",80,11
MT,Drummond High School District,"1,385",47,5
MT,Dupuyer Elementary School District,407,55,8
MT,Dutton/Brady K-12 Schools,997,144,23
MT,East Glacier Park Elementary School District,574,76,15
MT,East Helena K-12,"10,622","1,853",130
MT,Ekalaka Elementary School District,"1,032",101,17
MT,Elder Grove Elementary School District,"4,784",626,34
MT,Elliston Elementary School District,339,21,8
MT,Elysian Elementary School District,"3,756",401,20
MT,Ennis K-12 Schools,"4,690",443,40
MT,Eureka Elementary School District,"5,629",545,115
MT,Evergreen Elementary School District,"6,616",795,127
MT,Fair-Mont-Egan Elementary School District,"1,546",195,12
MT,Fairfield Elementary School District,"1,387",181,19
MT,Fairfield High School District,"2,011",140,10
MT,Fairview Elementary School District,"1,609",215,38
MT,Fairview High School District,"1,652",121,15
MT,Fergus High School District,"8,950",476,51
MT,Fishtail Elementary School District,291,21,3
MT,Flathead High School District,"70,599","3,709",310
MT,Florence-Carlton K-12 Schools,"6,106",956,77
MT,Forsyth Elementary School District,"2,146",211,31
MT,Forsyth High School District,"2,198",105,12
MT,Fort Benton Elementary School District,"1,888",160,15
MT,Fort Benton High School District,"2,263",101,7
MT,Fortine Elementary School District,852,78,14
MT,Frazer Elementary School District,540,98,31
MT,Frazer High School District,744,60,19
MT,Frenchtown K-12 Schools,"7,360","1,299",84
MT,Froid Elementary School District,473,75,11
MT,Froid High School District,473,32,3
MT,Fromberg K-12,"1,094",140,18
MT,Frontier Elementary School District,359,49,10
MT,Galata Elementary School District,192,26,2
MT,Gallatin Gateway Elementary School District,"1,918",168,11
MT,Gardiner Elementary School District,"1,320",87,15
MT,Gardiner High School District,"1,428",50,8
MT,Garfield County High School District,"1,218",57,9
MT,Garrison Elementary School District,147,9,4
MT,Geraldine K-12,586,79,21
MT,Geyser K-12 Schools,387,56,8
MT,Gildford Colony Elementary School District,72,12,2
MT,Glasgow K-12 Schools,"5,116",827,82
MT,Glendive Elementary School District,"7,655",851,115
MT,Gold Creek Elementary School District,197,18,3
MT,Golden Ridge Elementary School District,194,27,3
MT,Grant Elementary School District,104,6,1
MT,Grass Range Elementary School District,655,54,8
MT,Grass Range High School District,713,54,5
MT,Great Falls Elementary School District,"74,920","8,200","1,458"
MT,Great Falls High School District,"75,063","3,862",520
MT,Greenfield Elementary School District,465,52,3
MT,Greycliff Elementary School District,345,38,6
MT,Hall Elementary School District,291,18,3
MT,Hamilton K-12 Schools,"12,999","1,599",227
MT,Hardin Elementary School District,"9,679","1,638",392
MT,Hardin High School District,"8,339",615,122
MT,Harlem Elementary School District,"2,626",469,109
MT,Harlem High School District,"2,761",192,33
MT,Harlowton K-12 Schools,"1,821",350,57
MT,Harrison K-12 Schools,699,98,21
MT,Havre Elementary School District,"11,979","1,520",263
MT,Havre High School District,"12,328",686,90
MT,Hawks Home Elementary School District,109,8,2
MT,Hays-Lodge Pole K-12 Schools,"1,543",403,109
MT,Heart Butte K-12 Schools,798,207,98
MT,Helena Elementary School District,"58,242","6,272",543
MT,Helena Flats Elementary School District,"2,411",307,26
MT,Helena High School District,"60,991","2,990",197
MT,Hellgate Elementary School District,"16,776","1,629",116
MT,Helmville Elementary School District,203,13,3
MT,Highwood K-12,459,61,3
MT,Hinsdale Elementary School District,392,32,2
MT,Hinsdale High School District,414,21,1
MT,Hobson K-12 Schools,770,125,27
MT,Hot Springs K-12,"1,676",219,49
MT,Huntley Project K-12 Schools,"4,588",853,68
MT,Hysham K-12 Schools,758,112,21
MT,Independent Elementary School District,"3,111",499,22
MT,Jackson Elementary School District,143,12,1
MT,Jefferson High School District,"9,183",550,24
MT,Joliet Elementary School District,"2,262",218,28
MT,Joliet High School District,"2,723",161,11
MT,Jordan Elementary School District,691,85,12
MT,Judith Gap Elementary School District,302,34,7
MT,Judith Gap High School District,238,17,4
MT,Kalispell Elementary School District,"34,111","3,845",398
MT,Kester Elementary School District,102,11,3
MT,Kila Elementary School District,"2,224",250,34
MT,King Colony Elementary School District,411,45,7
MT,Kinsey Elementary School District,518,69,5
MT,Kircher Elementary School District,919,92,8
MT,Knees Elementary School District,118,14,1
MT,LaMotte Elementary School District,951,97,5
MT,Lambert Elementary School District,471,58,13
MT,Lambert High School District,451,23,3
MT,Lame Deer Elementary School District,"2,054",436,158
MT,Lame Deer High School District,"4,854",399,121
MT,Laurel Elementary School District,"12,740","1,679",132
MT,Laurel High School District,"12,279",740,45
MT,Lavina K-12 Schools,401,51,14
MT,Lewistown Elementary School District,"8,505",819,116
MT,Libby K-12 Schools,"10,600","1,404",310
MT,Liberty Elementary School District,165,28,8
MT,Lima K-12 Schools,500,69,16
MT,Lincoln County High School District,"7,136",354,57
MT,Lincoln K-12 Schools,"1,257",136,29
MT,Lindsay Elementary School District,293,31,5
MT,Livingston Elementary School District,"12,334","1,077",110
MT,Lockwood K-12,"8,626","1,788",197
MT,Lodge Grass Elementary School District,"1,959",365,109
MT,Lodge Grass High School District,"2,132",161,36
MT,Lolo Elementary School District,"5,755",682,52
MT,Lone Rock Elementary School District,"3,721",360,42
MT,Lustre Elementary School District,203,23,4
MT,Luther Elementary School District,387,24,1
MT,Malmborg Elementary School District,258,23,10
MT,Malta K-12 Schools,"3,230",579,104
MT,Manhattan High School District,"5,775",353,13
MT,Manhattan School,"3,672",485,32
MT,Marion Elementary School District,"1,939",234,50
MT,McCormick Elementary School District,509,44,12
MT,McLeod Elementary School District,231,25,3
MT,Medicine Lake K-12 Schools,734,129,17
MT,Melrose Elementary School District,123,13,5
MT,Melstone Elementary School District,575,62,23
MT,Melstone High School District,336,17,5
MT,Melville Elementary School District,226,26,3
MT,Miami Elementary School District,344,37,11
MT,Miles City Elementary School District,"10,101",936,146
MT,Missoula Elementary School District,"72,269","6,111",681
MT,Missoula High School District,"111,002","4,498",356
MT,Molt Elementary School District,158,13,1
MT,Monforton Elementary School District,"4,978",650,33
MT,Montana City Elementary School District,"3,465",434,9
MT,Moore Elementary School District,605,70,10
MT,Moore High School District,669,30,4
MT,Morin Elementary School District,380,60,8
MT,Mountain View Elementary School District,0,0,0
MT,Nashua K-12 Schools,917,124,9
MT,North Harlem Colony Elementary School District,25,2,1
MT,North Star Elementary School District,974,125,18
MT,North Star High School District,"1,058",58,6
MT,Noxon Elementary School District,"1,619",113,21
MT,Noxon High School District,"2,750",188,27
MT,Nye Elementary School District,208,21,1
MT,Olney-Bissell Elementary School District,"1,421",133,26
MT,Opheim K-12 Schools,322,53,18
MT,Ovando Elementary School District,249,10,1
MT,Park City Elementary School District,"2,227",258,26
MT,Park City High School District,"2,204",98,8
MT,Park High School District,"14,827",583,45
MT,Pass Creek Elementary School District,115,15,3
MT,Pendroy Elementary School District,159,18,2
MT,Philipsburg K-12 Schools,"2,117",231,34
MT,Pine Creek Elementary School District,388,22,1
MT,Pine Grove Elementary School District,71,5,3
MT,Pioneer Elementary School District,"1,047",133,10
MT,Plains K-12 Schools,"4,117",553,89
MT,Pleasant Valley Elementary School District,189,7,1
MT,Plenty Coups High School District,712,58,13
MT,Plentywood K-12 Schools,"2,477",345,54
MT,Plevna K-12 Schools,463,113,9
MT,Polaris Elementary School District,181,15,4
MT,Polson Elementary School District,"12,006","1,191",229
MT,Polson High School District,"13,388",612,94
MT,Poplar Elementary School District,"3,389",635,215
MT,Poplar High School District,"3,389",306,94
MT,Potomac Elementary School District,"1,174",101,18
MT,Powder River County High School District,"1,758",87,12
MT,Powell County High School District,"7,368",317,46
MT,Power Elementary School District,619,86,15
MT,Power High School District,659,45,6
MT,Pryor Elementary School District,712,131,38
MT,Ramsay Elementary School District,"1,730",214,35
MT,Rapelje Elementary School District,227,28,3
MT,Rapelje High School District,310,16,3
MT,Rau Elementary School District,379,41,5
MT,Red Lodge Elementary School District,"3,894",286,31
MT,Red Lodge High School District,"4,370",176,14
MT,Reed Point Elementary School District,478,30,3
MT,Reed Point High School District,431,20,1
MT,Reichle Elementary School District,162,18,8
MT,Richey Elementary School District,425,42,9
MT,Richey High School District,484,20,3
MT,Roberts K-12 Schools,959,141,14
MT,Rocky Boy Elementary School District,"3,284",632,221
MT,Rocky Boy High School District,"3,284",280,75
MT,Ronan Elementary School District,"9,380","1,310",363
MT,Ronan High School District,"9,380",557,115
MT,Rosebud K-12,377,52,14
MT,Ross Elementary School District,18,1,0
MT,Roundup Elementary School District,"4,662",451,102
MT,Roundup High School District,"4,849",236,41
MT,Roy K-12 Schools,264,47,21
MT,Ryegate K-12 Schools,434,55,13
MT,S H Elementary School District,162,10,2
MT,S Y Elementary School District,163,11,2
MT,Saco Elementary School District,468,41,11
MT,Saco High School District,445,28,3
MT,Sand Springs Elementary School District,124,11,3
MT,Savage Elementary School District,591,69,8
MT,Savage High School District,626,44,4
MT,Scobey K-12 Schools,"1,628",272,26
MT,Seeley Lake Elementary School District,"2,102",159,38
MT,Shelby Elementary School District,"3,722",345,54
MT,Shelby High School District,"3,914",215,24
MT,Shepherd Elementary School District,"4,139",537,48
MT,Shepherd High School District,"5,185",320,21
MT,Sheridan Elementary School District,"1,773",133,18
MT,Sheridan High School District,"2,079",87,10
MT,Shields Valley Elementary School District,"1,798",156,15
MT,Shields Valley High School District,"1,535",77,13
MT,Sidney Elementary School District,"7,872",977,93
MT,Sidney High School District,"8,508",507,39
MT,Simms High School District,"3,364",215,26
MT,Smith Valley Elementary School District,"2,314",285,46
MT,Somers Elementary School District,"7,443",864,108
MT,South Stacey Elementary School District,103,9,3
MT,Spring Creek Colony Elementary School District,34,3,0
MT,Spring Creek Elementary School District,69,5,2
MT,Springhill Elementary School District,165,9,0
MT,St. Ignatius K-12 Schools,"3,626",688,144
MT,St. Regis K-12 Schools,"1,467",216,58
MT,Stanford K-12 Schools,921,122,16
MT,Stevensville Elementary School District,"8,352",792,116
MT,Stevensville High School District,"12,073",547,58
MT,Sun River Valley Elementary School District,"2,170",273,44
MT,Sunburst K-12 Schools,"1,168",206,36
MT,Sunset Elementary School District,235,22,0
MT,Superior K-12 Schools,"2,661",348,43
MT,Swan Lake-Salmon Elementary School District,332,16,2
MT,Swan River Elementary School District,"1,715",118,19
MT,Swan Valley Elementary School District,543,36,12
MT,Sweet Grass County High School District,"3,622",201,18
MT,Target Range Elementary School District,"4,334",435,27
MT,Terry K-12 Schools,"1,107",164,22
MT,Thompson Falls Elementary School District,"4,228",329,68
MT,Thompson Falls High School District,"4,434",204,32
MT,Three Forks Elementary School District,"4,753",578,40
MT,Three Forks High School District,"4,745",295,15
MT,Townsend K-12 Schools,"6,560",908,98
MT,Trail Creek Elementary School District,169,24,3
MT,Trego Elementary School District,654,48,13
MT,Trinity Elementary School District,"1,994",210,17
MT,Trout Creek Elementary School District,"1,337",98,17
MT,Troy Elementary School District,"2,892",245,76
MT,Troy High School District,"3,789",153,43
MT,Turner Elementary School District,466,54,6
MT,Turner High School District,432,24,2
MT,Twin Bridges K-12 Schools,"1,365",216,21
MT,Ulm Elementary School District,840,86,5
MT,Upper West Shore Elementary School District,"1,073",107,29
MT,Valier Elementary School District,957,107,22
MT,Valier High School District,"1,364",72,10
MT,Valley View Elementary School District,309,50,12
MT,Vaughn Elementary School District,"1,194",170,26
MT,Victor K-12 Schools,"3,873",503,64
MT,Vida Elementary School District,452,42,5
MT,West Glacier Elementary School District,608,47,3
MT,West Valley Elementary School District,"5,786",848,55
MT,West Yellowstone K-12,"2,028",300,37
MT,Westby K-12 Schools,353,63,14
MT,White Sulphur Springs K-12,"2,013",270,46
MT,Whitefish Elementary School District,"16,010","1,556",136
MT,Whitefish High School District,"16,903",728,46
MT,Whitehall Elementary School District,"3,443",269,48
MT,Whitehall High School District,"4,114",186,26
MT,Whitewater K-12 Schools,189,42,10
MT,Wibaux K-12 Schools,919,147,23
MT,Willow Creek Elementary School District,464,56,9
MT,Willow Creek High School District,338,20,2
MT,Winifred K-12 Schools,511,94,12
MT,Winnett K-12 Schools,524,55,10
MT,Wisdom Elementary School District,278,23,5
MT,Wise River Elementary School District,318,21,10
MT,Wolf Creek Elementary School District,754,48,9
MT,Wolf Point Elementary School District,"4,133",699,177
MT,Wolf Point High School District,"4,492",314,65
MT,Woodman Elementary School District,433,44,8
MT,Wyola Elementary School District,432,72,23
MT,Yaak Elementary School District,389,40,13
MT,Yellowstone Academy Elementary School District,152,35,2
MT,Zurich Elementary School District,244,21,6
NE,Adams Central Public Schools,"5,536","1,128",50
NE,Ainsworth Community Schools,"2,868",435,60
NE,Allen Consolidated Schools,932,184,19
NE,Alliance Public Schools,"9,166","1,736",252
NE,Alma Public Schools,"1,720",248,30
NE,Amherst Public Schools,"1,260",265,19
NE,Anselmo-Merna Public Schools,"1,122",218,27
NE,Ansley Public Schools,"1,001",190,36
NE,Arapahoe Public Schools,"1,690",269,57
NE,Arcadia Public Schools,487,115,19
NE,Arlington Public Schools,"3,510",685,43
NE,Arnold Public Schools,989,184,21
NE,Arthur County Schools,449,87,17
NE,Ashland-Greenwood Public Schools,"6,116","1,077",72
NE,Auburn Public Schools,"5,507",903,134
NE,Aurora Public Schools,"6,948","1,269",117
NE,Axtell Community Schools,"1,439",274,17
NE,Bancroft-Rosalie Community Schools,"1,101",202,29
NE,Banner County Public Schools,686,126,21
NE,Battle Creek Public Schools,"2,612",562,31
NE,Bayard Public Schools,"2,184",359,56
NE,Beatrice Public Schools,"13,993","2,271",291
NE,Bellevue Public Schools,"53,077","10,004",825
NE,Bennington Public Schools,"15,840","3,670",97
NE,Bertrand Public Schools,"1,319",219,33
NE,Blair Community Schools,"13,748","2,505",191
NE,Bloomfield Community Schools,"1,697",287,36
NE,Blue Hill Public Schools,"1,337",222,22
NE,Boone Central Schools,"3,577",626,55
NE,Boyd County Schools,"1,873",276,56
NE,Brady Public Schools,807,139,17
NE,Bridgeport Public Schools,"2,411",425,86
NE,Broken Bow Public Schools,"4,792",861,111
NE,Bruning-Davenport Unified School System,"1,275",204,30
NE,Burwell Public Schools,"1,786",216,37
NE,Callaway Public Schools,"1,263",230,25
NE,Cambridge Public Schools,"1,447",211,37
NE,Cedar Bluffs Public Schools,"1,392",273,39
NE,Centennial Public Schools,"3,422",618,66
NE,Central City Public Schools,"4,823",810,93
NE,Central Valley Public Schools,"2,061",381,55
NE,Centura Public Schools,"2,628",533,61
NE,Chadron Public Schools,"6,713",863,127
NE,Chambers Public Schools,705,127,26
NE,Chase County Schools,"3,097",588,60
NE,Clarkson Public Schools,"1,149",206,20
NE,Cody-Kilgore Public Schools,455,87,21
NE,Columbus Public Schools,"25,048","4,657",586
NE,Conestoga Public Schools,"4,571",841,47
NE,Cozad Community Schools,"5,022",894,113
NE,Crawford Public Schools,"1,294",171,41
NE,Creek Valley Schools,"1,922",307,49
NE,Creighton Community Public Schools,"1,984",328,57
NE,Crete Public Schools,"10,563","2,130",213
NE,Crofton Community Schools,"2,176",400,35
NE,Cross County Community Schools,"2,065",355,30
NE,David City Public Schools,"5,733","1,019",76
NE,Deshler Public Schools,"1,260",235,37
NE,Diller-Odell Public Schools,"1,376",228,18
NE,Doniphan-Trumbull Public Schools,"2,526",482,29
NE,Dorchester Public Schools,"1,058",172,22
NE,Douglas County West Community Schools,"6,228","1,012",66
NE,Dundy County Stratton Public Schools,"2,003",318,68
NE,East Butler Public Schools,"2,496",466,44
NE,Elba Public Schools,445,59,9
NE,Elgin Public Schools,"1,386",236,29
NE,Elkhorn Public Schools,"53,584","12,015",290
NE,Elkhorn Valley Schools,"2,033",428,57
NE,Elm Creek Public Schools,"1,749",328,21
NE,Elmwood-Murdock Public Schools,"2,169",442,21
NE,Elwood Public Schools,"1,527",222,32
NE,Emerson-Hubbard Public Schools,"1,658",288,48
NE,Eustis-Farnam Public Schools,"1,116",204,29
NE,Exeter-Milligan Public Schools,"1,293",165,10
NE,Fairbury Public Schools,"5,575",926,144
NE,Falls City Public Schools,"5,700",948,139
NE,Fillmore Central Public Schools,"3,467",475,57
NE,Fort Calhoun Community Schools,"3,337",600,34
NE,Franklin Public Schools,"1,695",258,47
NE,Freeman Public Schools,"1,972",385,13
NE,Fremont Public Schools,"30,577","5,491",665
NE,Friend Public Schools,"1,383",262,19
NE,Fullerton Public Schools,"1,720",308,50
NE,Garden County Schools,"1,882",277,73
NE,Gering Public Schools,"11,096","1,997",439
NE,Gibbon Public Schools,"3,082",618,44
NE,Giltner Public Schools,713,147,16
NE,Gordon-Rushville Public Schools,"3,990",662,163
NE,Gothenburg Public Schools,"4,316",779,88
NE,Grand Island Public Schools,"53,613","10,621","1,528"
NE,Gretna Public Schools,"27,786","6,066",138
NE,Hampton Public Schools,765,130,13
NE,Hartington Newcastle Public Schools,"3,853",782,87
NE,Harvard Public Schools,"1,203",221,37
NE,Hastings Public Schools,"22,938","3,793",600
NE,Hay Springs Public Schools,"1,087",158,24
NE,Hayes Center Public Schools,631,118,32
NE,Heartland Community Schools,"2,216",438,41
NE,Hemingford Public Schools,"1,842",363,49
NE,Hershey Public Schools,"1,994",375,26
NE,High Plains Community Schools,"1,774",302,41
NE,Hitchcock County School System,"1,723",307,42
NE,Holdrege Public Schools,"6,737","1,143",125
NE,Homer Community Schools,"1,704",359,21
NE,Howells-Dodge Consolidated Schools,"2,040",371,32
NE,Humboldt Table Rock Steinauer Public Schools,"2,889",447,78
NE,Humphrey Public Schools,"2,265",475,31
NE,Hyannis Area Schools,849,156,35
NE,Johnson County Central Public Schools,"4,627",610,70
NE,Johnson-Brock Public Schools,"1,374",275,37
NE,Kearney Public Schools,"40,134","6,165",768
NE,Kenesaw Public Schools,"1,423",260,19
NE,Keya Paha County Schools,799,118,35
NE,Kimball Public Schools,"2,987",441,62
NE,Lakeview Community Schools,"5,620","1,235",119
NE,Laurel-Concord-Coleridge School,"2,664",440,55
NE,Leigh Community Schools,"1,081",186,16
NE,Lewiston Consolidated Schools,816,133,24
NE,Lexington Public Schools,"12,450","2,630",463
NE,Leyton Public Schools,"1,090",145,15
NE,Lincoln Public Schools,"297,385","47,371","6,738"
NE,Litchfield Public Schools,718,136,15
NE,Logan View Public Schools,"2,873",501,48
NE,Loomis Public Schools,890,189,27
NE,Louisville Public Schools,"3,500",622,19
NE,Loup City Public Schools,"2,171",335,70
NE,Loup County Public Schools,615,84,22
NE,Lyons-Decatur Northeast Schools,"1,881",313,40
NE,Madison Public Schools,"3,251",697,90
NE,Malcolm Public Schools,"2,306",444,12
NE,Maxwell Public Schools,826,151,7
NE,Maywood Public Schools,856,151,22
NE,McCook Public Schools,"8,914","1,440",197
NE,McCool Junction Public Schools,878,187,18
NE,McPherson County Schools,359,51,11
NE,Mead Public Schools,"1,497",295,15
NE,Medicine Valley Public Schools,"1,296",185,39
NE,Meridian Public Schools,897,173,21
NE,Milford Public Schools,"4,375",824,57
NE,Millard Public Schools,"122,582","25,053","1,348"
NE,Minatare Public Schools,800,144,37
NE,Minden Public Schools,"4,561",873,91
NE,Mitchell Public Schools,"3,044",559,100
NE,Morrill Public Schools,"2,378",425,87
NE,Mullen Public Schools,930,166,22
NE,Nebraska City Public Schools,"9,306","1,701",216
NE,Neligh-Oakdale Schools,"2,403",411,67
NE,Newman Grove Public Schools,"1,319",227,35
NE,Niobrara Public Schools,685,110,36
NE,Norfolk Public Schools,"30,254","5,338",651
NE,Norris School District 160,"10,785","2,590",103
NE,North Bend Central Public Schools,"2,981",535,50
NE,North Platte Public Schools,"26,856","4,496",678
NE,Northwest Public Schools,"4,168",744,94
NE,O'Neill Public Schools,"5,157","1,026",137
NE,Oakland Craig Public Schools,"2,214",416,53
NE,Ogallala Public Schools,"6,688",995,176
NE,Omaha Public Schools,"374,853","64,436","12,246"
NE,Ord Public Schools,"3,363",568,96
NE,Osceola Public Schools,"1,450",229,30
NE,Osmond Community Schools,"1,299",262,32
NE,Overton Public Schools,"1,184",241,30
NE,Palmer Public Schools,"1,048",211,23
NE,Palmyra District OR-1,"3,550",729,39
NE,Papillion-La Vista Community Schools,"68,605","13,513",687
NE,Pawnee City Public Schools,"1,510",252,51
NE,Paxton Consolidated Schools,"1,025",170,20
NE,Pender Public Schools,"1,859",318,34
NE,Perkins County Schools,"2,726",495,60
NE,Pierce Public Schools,"3,904",749,63
NE,Plainview Public Schools,"2,157",411,65
NE,Plattsmouth Community Schools,"10,351","1,742",182
NE,Pleasanton Public Schools,"1,358",247,27
NE,Ponca Public Schools,"1,987",340,36
NE,Potter-Dix Public Schools,961,154,38
NE,Ralston Public Schools,"21,347","3,014",424
NE,Randolph Public Schools,"1,679",292,22
NE,Ravenna Public Schools,"2,384",437,66
NE,Raymond Central Public Schools,"4,576",842,47
NE,Red Cloud Community Schools,"1,368",217,39
NE,Riverside Public Schools,"1,560",253,43
NE,Rock County Public Schools,"1,246",199,37
NE,Sandhills Public Schools,564,91,25
NE,Santee Community Schools,647,207,62
NE,Sargent Public Schools,899,144,21
NE,Schuyler Community Schools,"8,318","1,857",228
NE,Scottsbluff Public Schools,"18,325","3,325",772
NE,Scribner-Snyder Community Schools,"1,709",312,42
NE,Seward Public Schools,"11,242","1,911",125
NE,Shelby-Rising City Public Schools,"2,078",371,33
NE,Shelton Public Schools,"1,473",277,26
NE,Shickley Public Schools,713,105,18
NE,Sidney Public Schools,"7,304","1,309",198
NE,Silver Lake Public Schools,"1,452",256,20
NE,Sioux County Public Schools,778,88,21
NE,South Central Nebraska Unified 5,"4,009",690,89
NE,South Platte Public Schools,"1,229",177,37
NE,South Sioux City Community Schools,"17,894","3,834",636
NE,Southern School District 1,"2,398",407,73
NE,Southern Valley Schools,"2,611",437,80
NE,Southwest Public Schools,"1,879",320,53
NE,Springfield Platteview Community Schools,"7,477","1,368",39
NE,St. Edward Public Schools,"1,060",210,31
NE,St. Paul Public Schools,"3,829",677,57
NE,Stanton Community Schools,"2,331",391,26
NE,Stapleton Public Schools,819,147,17
NE,Sterling Public Schools,"1,291",235,40
NE,Stuart Public Schools,790,140,26
NE,Summerland Public Schools,"2,497",423,101
NE,Sumner-Eddyville-Miller Schools,914,163,20
NE,Superior Public Schools,"2,700",414,64
NE,Sutherland Public Schools,"1,627",321,16
NE,Sutton Public Schools,"2,139",383,31
NE,Syracuse-Dunbar-Avoca Schools,"4,589",789,43
NE,Tekamah-Herman Community Schools,"3,271",574,66
NE,Thayer Central Community Schools,"2,638",444,46
NE,Thedford Public Schools,557,101,20
NE,Tri County Public Schools,"2,168",382,41
NE,Twin River Public Schools,"2,674",464,41
NE,Umo N Ho N Nation Public Schools,"1,225",420,179
NE,Valentine Community Schools,"4,340",779,103
NE,Verdigre Public Schools,"1,024",154,42
NE,Wahoo Public Schools,"7,844","1,527",91
NE,Wakefield Public Schools,"2,154",488,65
NE,Wallace Public School District 65 R,734,158,23
NE,Walthill Public Schools,"1,092",293,79
NE,Wauneta-Palisade Public Schools,"1,311",194,39
NE,Wausa Public Schools,"1,039",220,19
NE,Waverly School District 145,"11,471","2,432",105
NE,Wayne Community Schools,"7,457",965,91
NE,Weeping Water Public Schools,"1,821",302,24
NE,West Holt Public Schools,"2,441",470,69
NE,West Point Public Schools,"5,781","1,029",115
NE,Westside Community Schools,"31,238","5,354",524
NE,Wheeler Central Schools,730,106,22
NE,Wilber-Clatonia Public Schools,"3,208",605,43
NE,Wilcox-Hildreth Public Schools,"1,367",231,29
NE,Winnebago Public Schools,"1,919",577,155
NE,Winside Public Schools,"1,024",181,21
NE,Wisner-Pilger Public Schools,"2,402",404,52
NE,Wood River Rural Schools,"2,822",519,75
NE,Wynot Public Schools,739,146,11
NE,York Public Schools,"9,547","1,595",169
NE,Yutan Public Schools,"2,577",502,31
NV,Carson City School District,"58,130","8,614","1,163"
NV,Churchill County School District,"25,843","4,299",544
NV,Clark County School District,"2,322,985","384,960","63,932"
NV,Douglas County School District,"49,628","5,757",586
NV,Elko County School District,"54,046","10,662","1,051"
NV,Esmeralda County School District,744,84,18
NV,Eureka County School District,"1,863",339,42
NV,Humboldt County School District,"17,272","3,401",395
NV,Lander County School District,"5,766","1,150",151
NV,Lincoln County School District,"4,482",675,114
NV,Lyon County School District,"61,585","9,373","1,323"
NV,Mineral County School District,"4,525",643,135
NV,Nye County School District,"54,738","6,856","1,442"
NV,Pershing County School District,"6,462",826,134
NV,Storey County School District,"4,170",421,38
NV,Washoe County School District,"496,745","76,142","7,342"
NV,White Pine County School District,"8,788","1,332",179
NH,Albany School District,791,95,14
NH,Allenstown School District,"4,775",645,69
NH,Alton School District,"5,993",502,41
NH,Amherst School District,"11,855","1,330",23
NH,Andover School District,"2,441",387,22
NH,Ashland School District,"1,938",131,22
NH,Auburn School District,"6,045","1,043",21
NH,Barnstead School District,"4,998",508,34
NH,Barrington School District,"9,425","1,531",49
NH,Bartlett School District,"3,334",325,41
NH,Bath School District,"1,077",169,18
NH,Bedford School District,"23,524","4,561",77
NH,Benton School District,374,27,2
NH,Berlin School District,"9,496","1,185",233
NH,Bethlehem School District,"2,484",164,22
NH,Bow School District,"8,347","1,690",34
NH,Brentwood School District,"4,565",329,5
NH,Brookline School District,"5,688",654,12
NH,Campton School District,"3,344",324,36
NH,Candia School District,"4,080",528,17
NH,Chatham School District,355,47,2
NH,Chester School District,"5,319",897,23
NH,Chesterfield School District,"3,593",515,25
NH,Chichester School District,"2,703",412,18
NH,Claremont School District,"13,218","1,872",257
