Table with column headers in row 3,,,,
State Postal Code,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,Bullhead City School District,"43,372","3,280",978
AZ,Camp Verde Unified District,"13,222","1,975",492
AZ,Canon Elementary District,"2,874",295,84
AZ,Cartwright Elementary District,"123,357","20,071","4,959"
AZ,Casa Grande Elementary District,"71,601","9,060","1,427"
AZ,Casa Grande Union High School District,"100,779","5,194",763
AZ,Catalina Foothills Unified District,"32,042","4,005",164
AZ,Cave Creek Unified District,"65,615","7,120",277
AZ,Cedar Unified District,"6,853","1,321",484
AZ,Chandler Unified District,"285,135","51,729","3,303"
AZ,Chevelon Butte School District,574,26,8
AZ,Chinle Unified District,"18,876","4,255","1,486"
AZ,Chino Valley Unified District,"25,652","3,605",698
AZ,Clarkdale-Jerome Elementary District,"4,303",345,67
AZ,Cochise Elementary District,196,26,12
AZ,Colorado City Unified District,"4,240","1,413",441
AZ,Colorado River Union High School District,"70,416","2,684",566
AZ,Concho Elementary District,"2,679",308,110
AZ,Congress Elementary District,"2,248",140,53
AZ,Continental Elementary District,"31,921","1,107",93
AZ,Coolidge Unified District,"21,103","4,219",714
AZ,Cottonwood-Oak Creek Elementary District,"32,287","2,848",479
AZ,Crane Elementary District,"45,644","6,565",950
AZ,Creighton Elementary District,"66,970","7,464","1,637"
AZ,Crown King Elementary District,92,2,0
AZ,Deer Valley Unified District,"276,599","46,972","3,472"
AZ,Double Adobe Elementary District,388,44,12
AZ,Douglas Unified District,"20,324","4,173","1,405"
AZ,Duncan Unified District,"2,512",444,64
AZ,Dysart Unified District,"202,076","35,061","3,578"
AZ,Eagle Elementary District,73,7,1
AZ,Elfrida Elementary District,878,87,31
AZ,Eloy Elementary District,"6,179",912,239
AZ,Empire Elementary District,476,66,12
AZ,Flagstaff Unified District,"99,873","13,540","1,653"
AZ,Florence Unified School District,"115,071","19,491","1,804"
AZ,Flowing Wells Unified District,"30,876","5,030","1,297"
AZ,Fort Huachuca Accommodation District,"5,248",792,54
AZ,Fort Thomas Unified District,"2,580",612,131
AZ,Fountain Hills Unified District,"25,109","1,949",134
AZ,Fowler Elementary District,"35,865","5,776","1,193"
AZ,Fredonia-Moccasin Unified District,"2,716",443,145
AZ,Gadsden Elementary District,"26,383","3,989",980
AZ,Ganado Unified District,"6,183","1,278",417
AZ,Gila Bend Unified District,"2,370",558,163
AZ,Gilbert Unified District,"217,656","42,792","2,471"
AZ,Glendale Elementary District,"112,383","15,861","3,791"
AZ,Glendale Union High School District,"367,194","20,166","3,491"
AZ,Globe Unified District,"10,081","1,611",279
AZ,Grand Canyon Unified District,"2,406",202,68
AZ,Hackberry School District,"1,249",74,19
AZ,Hayden-Winkelman Unified District,"1,057",168,46
AZ,Heber-Overgaard Unified District,"4,397",475,149
